,-E1_0,-E1_1,-E1_2,-E2_0,-E2_1,-E2_2,-E3_0,-E3_1,-E3_2,-E4_0,-E4_1,-E4_2,:Inter_0_0,:Inter_10_0,:Inter_11_0,:Inter_1_0,:Inter_2_0,:Inter_3_0,:Inter_4_0,:Inter_5_0,:Inter_6_0,:Inter_7_0,:Inter_8_0,:Inter_9_0,E1_0,E1_1,E1_2,E2_0,E2_1,E2_2,E3_0,E3_1,E3_2,E4_0,E4_1,E4_2
66,0,0,0,1,2,2,1,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,3,3,3,1,0
67,0,0,0,1,2,2,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,1,3,3,3,1,0
68,0,0,0,1,2,2,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,1,3,3,2,1,0
69,0,0,0,1,2,2,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,1,3,3,2,1,0
70,0,0,0,0,2,2,2,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,1,1,0,1,3,3,2,1,0
71,0,0,0,0,2,2,3,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,1,0,1,3,3,1,1,0
72,0,0,0,0,2,2,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,1,3,3,1,0,0
73,0,0,0,0,2,2,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,1,3,3,1,0,0
74,0,0,0,0,2,2,3,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,1,3,3,1,0,0
75,0,0,0,0,2,2,3,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,1,3,3,1,0,0
76,0,0,0,0,2,2,3,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,1,4,3,1,0,0
77,0,0,0,0,2,2,3,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,1,0,1,4,3,2,0,0
78,0,0,0,0,2,2,3,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,1,1,0,1,4,3,1,0,0
79,0,0,0,0,2,2,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,1,0,1,4,3,1,0,0
80,0,0,0,0,2,2,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,1,0,1,4,3,1,0,0
81,0,0,0,0,2,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,1,0,1,4,3,1,0,0
82,0,0,0,0,2,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,1,0,1,4,3,1,0,0
83,0,0,0,0,2,2,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,3,0,0,1,4,3,1,0,0
84,0,0,0,0,2,2,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,3,0,0,1,4,3,1,0,0
85,0,0,0,0,2,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,1,0,1,4,3,1,0,0
